"Formatted_FIPS","County","State","Deaths","Population","Age_Adjusted_Rate"
"01001","Autauga","AL","587","973996","0.602807"
"01003","Baldwin","AL","2306","3315612","0.526540"
"01005","Barbour","AL","362","524532","0.598642"
"01007","Bibb","AL","298","420138","0.646436"
"01009","Blount","AL","770","1055544","0.611240"
"01011","Bullock","AL","115","207897","0.490073"
"01013","Butler","AL","251","394026","0.489888"
"01015","Calhoun","AL","1736","2188382","0.669684"
"01017","Chambers","AL","532","662533","0.612269"
"01019","Cherokee","AL","420","480601","0.609045"
"01021","Chilton","AL","574","806370","0.623787"
"01023","Choctaw","AL","180","271159","0.474168"
"01025","Clarke","AL","298","496699","0.492608"
"01027","Clay","AL","229","264079","0.630977"
"01029","Cleburne","AL","211","278877","0.596041"
"01031","Coffee","AL","648","908803","0.599268"
"01033","Colbert","AL","811","1035119","0.589994"
"01035","Conecuh","AL","196","252498","0.561734"
"01037","Coosa","AL","184","216460","0.616553"
"01039","Covington","AL","705","712148","0.702610"
"01041","Crenshaw","AL","193","262629","0.551538"
"01043","Cullman","AL","1176","1513326","0.617744"
"01045","Dale","AL","696","940304","0.668023"
"01047","Dallas","AL","586","828909","0.611881"
"01049","DeKalb","AL","836","1309006","0.551121"
"01051","Elmore","AL","877","1435084","0.606312"
"01053","Escambia","AL","570","721174","0.657011"
"01055","Etowah","AL","1677","1966804","0.666667"
"01057","Fayette","AL","268","332710","0.588137"
"01059","Franklin","AL","471","595063","0.653353"
"01061","Geneva","AL","465","499725","0.673414"
"01063","Greene","AL","101","175427","0.446072"
"01065","Hale","AL","191","306787","0.527680"
"01067","Henry","AL","254","321474","0.568201"
"01069","Houston","AL","1206","1855373","0.556560"
"01071","Jackson","AL","864","1010937","0.663343"
"01073","Jefferson","AL","7457","12507879","0.539345"
"01075","Lamar","AL","263","280560","0.675118"
"01077","Lauderdale","AL","1249","1724343","0.557250"
"01079","Lawrence","AL","501","647588","0.659853"
"01081","Lee","AL","1115","2581659","0.549540"
"01083","Limestone","AL","872","1498560","0.546651"
"01085","Lowndes","AL","125","224122","0.492140"
"01087","Macon","AL","267","410761","0.565704"
"01089","Madison","AL","3164","6072548","0.504966"
"01091","Marengo","AL","288","401816","0.560996"
"01093","Marion","AL","506","581149","0.628211"
"01095","Marshall","AL","1419","1702333","0.699717"
"01097","Mobile","AL","5126","7734229","0.617590"
"01099","Monroe","AL","293","438927","0.538354"
"01101","Montgomery","AL","2247","4294970","0.518459"
"01103","Morgan","AL","1500","2209658","0.590522"
"01105","Perry","AL","139","202980","0.553648"
"01107","Pickens","AL","285","384174","0.561075"
"01109","Pike","AL","312","603359","0.494002"
"01111","Randolph","AL","294","429555","0.508397"
"01113","Russell","AL","694","1010333","0.649456"
"01115","St. Clair","AL","1082","1481951","0.666545"
"01117","Shelby","AL","1439","3464273","0.457595"
"01119","Sumter","AL","168","263575","0.544007"
"01121","Talladega","AL","1113","1545026","0.610577"
"01123","Tallapoosa","AL","630","782937","0.590043"
"01125","Tuscaloosa","AL","1840","3539944","0.560060"
"01127","Walker","AL","1264","1284680","0.757569"
"01129","Washington","AL","217","331506","0.566800"
"01131","Wilcox","AL","128","227401","0.461641"
"01133","Winston","AL","405","464182","0.651098"
"02013","Aleutians East Borough","AK","SUPPRESSED","57145","SUPPRESSED"
"02016","Aleutians West Census Area","AK","17","106787","0.360873"
"02020","Anchorage Borough","AK","1672","5380970","0.462974"
"02050","Bethel Census Area","AK","79","323362","0.523088"
"02060","Bristol Bay Borough","AK","SUPPRESSED","20161","SUPPRESSED"
"02068","Denali Borough","AK","SUPPRESSED","28197","SUPPRESSED"
"02070","Dillingham Census Area","AK","28","92904","0.472713"
"02090","Fairbanks North Star Borough","AK","503","1773510","0.488475"
"02100","Haines Borough","AK","19","46118","0.368809"
"02105","Hoonah-Angoon Census Area","AK","SUPPRESSED","8422","SUPPRESSED"
"02110","Juneau Borough","AK","166","597369","0.381030"
"02122","Kenai Peninsula Borough","AK","479","1026716","0.489817"
"02130","Ketchikan Gateway Borough","AK","134","258653","0.595858"
"02150","Kodiak Island Borough","AK","75","258170","0.507113"
"02164","Peninsula and Lake Borough","AK","13","31344","0.690605"
"02170","Matanuska-Susitna Borough","AK","580","1567390","0.507647"
"02180","Nome Census Area","AK","82","180295","0.737894"
"02185","North Slope Borough","AK","74","166166","1.023485"
"02188","Northwest Artic Borough","AK","38","142332","0.471355"
"02195","Petersburg Borough","AK","SUPPRESSED","12754","SUPPRESSED"
"02198","Prince of Wales-Hyder Census Area","AK","SUPPRESSED","25543","SUPPRESSED"
"02201","Prince of Wales - Outer Ketchika Census Area","AK","33","87366","0.489114"
"02220","Sitka Borough","AK","57","168665","0.358899"
"02230","Skagway Municipality","AK","SUPPRESSED","4334","SUPPRESSED"
"02232","Skagway-Hoonah-Angoon Census Area","AK","SUPPRESSED","48607","SUPPRESSED"
"02240","Southeast Fairbanks Census Area","AK","53","125576","0.529089"
"02261","Valdez-Cordova Census Area","AK","83","184957","0.623993"
"02270","Wade Hampton Census Area","AK","42","142761","0.693101"
"02275","Wrangell City and Borough","AK","SUPPRESSED","9708","SUPPRESSED"
"02280","Wrangell-Petersburg Borough","AK","54","93285","0.578306"
"02282","Yakutat Borough","AK","SUPPRESSED","12776","SUPPRESSED"
"02290","Yukon-Koyukuk Census Area","AK","45","119032","0.451099"
"04001","Apache","AZ","220","1336287","0.181960"
"04003","Cochise","AZ","1332","2387084","0.422063"
"04005","Coconino","AZ","468","2470411","0.251362"
"04007","Gila","AZ","750","998760","0.440349"
"04009","Graham","AZ","221","674453","0.342082"
"04011","Greenlee","AZ","69","161810","0.448293"
"04012","La Paz","AZ","313","383590","0.386420"
"04013","Maricopa","AZ","27192","70161204","0.388689"
"04015","Mohave","AZ","3980","3597647","0.639766"
"04017","Navajo","AZ","599","1992664","0.297439"
"04019","Pima","AZ","8650","17961428","0.393232"
"04021","Pinal","AZ","2615","5835698","0.370819"
"04023","Santa Cruz","AZ","217","837356","0.253541"
"04025","Yavapai","AZ","2839","3824299","0.413142"
"04027","Yuma","AZ","1515","3542009","0.351623"
"05001","Arkansas","AR","337","368899","0.702850"
"05003","Ashley","AR","354","422971","0.665921"
"05005","Baxter","AR","1005","765921","0.664646"
"05007","Benton","AR","1855","3932975","0.462741"
"05009","Boone","AR","568","685515","0.601571"
"05011","Bradley","AR","204","222259","0.682638"
"05013","Calhoun","AR","106","103926","0.751041"
"05015","Carroll","AR","338","508872","0.468337"
"05017","Chicot","AR","213","233095","0.681144"
"05019","Clark","AR","295","436707","0.590433"
"05021","Clay","AR","358","308522","0.781825"
"05023","Cleburne","AR","551","478799","0.678018"
"05025","Cleveland","AR","146","163537","0.714092"
"05027","Columbia","AR","362","470273","0.630065"
"05029","Conway","AR","315","395664","0.602688"
"05031","Craighead","AR","897","1775505","0.511348"
"05033","Crawford","AR","802","1123975","0.655949"
"05035","Crittenden","AR","678","953850","0.759377"
"05037","Cross","AR","330","346155","0.795334"
"05039","Dallas","AR","160","157971","0.724557"
"05041","Desha","AR","199","255325","0.641951"
"05043","Drew","AR","260","353658","0.648466"
"05045","Faulkner","AR","1060","2022243","0.609910"
"05047","Franklin","AR","324","340949","0.740647"
"05049","Fulton","AR","257","229223","0.678976"
"05051","Garland","AR","1740","1784769","0.625209"
"05053","Grant","AR","259","331620","0.683358"
"05055","Greene","AR","615","780621","0.683901"
"05057","Hempstead","AR","320","431755","0.627007"
