date,name,value
1962,Tuberculosis,0.06365599999999999
1963,Tuberculosis,0.061655999999999996
1964,Tuberculosis,0.054484000000000005
1965,Tuberculosis,0.051553999999999996
1966,Tuberculosis,0.048794
1967,Tuberculosis,0.043532
1968,Tuberculosis,0.039136000000000004
1969,Tuberculosis,0.034509
1970,Tuberculosis,0.031542
1971,Tuberculosis,0.026895
1972,Tuberculosis,0.025608
1973,Tuberculosis,0.022256
1974,Tuberculosis,0.019865999999999998
1975,Tuberculosis,0.018581
1976,Tuberculosis,0.017236
1977,Tuberculosis,0.016013
1978,Tuberculosis,0.015468
1979,Tuberculosis,0.010496
1980,Tuberculosis,0.010154
1981,Tuberculosis,0.009725
1982,Tuberculosis,0.008964
1983,Tuberculosis,0.008616
1984,Tuberculosis,0.00817
1985,Tuberculosis,0.008206
1986,Tuberculosis,0.00821
1987,Tuberculosis,0.007890000000000001
1988,Tuberculosis,0.008573
1989,Tuberculosis,0.008591
1990,Tuberculosis,0.007761
1991,Tuberculosis,0.007205
1992,Tuberculosis,0.006997
1993,Tuberculosis,0.0066040000000000005
1994,Tuberculosis,0.005877
1995,Tuberculosis,0.005221
1996,Tuberculosis,0.004627
1997,Tuberculosis,0.004405
1998,Tuberculosis,0.004122
1999,Tuberculosis,0.003396
2000,Tuberculosis,0.0027949999999999997
2001,Tuberculosis,0.002702
2002,Tuberculosis,0.0027370000000000003
2003,Tuberculosis,0.002432
2004,Tuberculosis,0.0022329999999999997
2005,Tuberculosis,0.002152
2006,Tuberculosis,0.0021190000000000002
2007,Tuberculosis,0.0017739999999999998
2008,Tuberculosis,0.001834
2009,Tuberculosis,0.001638
2010,Tuberculosis,0.0017109999999999998
2011,Tuberculosis,0.001586
2012,Tuberculosis,0.00146
2013,Tuberculosis,0.001568
2014,Tuberculosis,0.001358
2015,Tuberculosis,0.00128
2016,Tuberculosis,0.001417
2017,Tuberculosis,0.001328
1962,All Malignant Neoplasms,1.918691
1963,All Malignant Neoplasms,1.92766
1964,All Malignant Neoplasms,1.9278680000000001
1965,All Malignant Neoplasms,1.947718
1966,All Malignant Neoplasms,1.95505
1967,All Malignant Neoplasms,1.966068
1968,All Malignant Neoplasms,1.988141
1969,All Malignant Neoplasms,1.9850740000000002
1970,All Malignant Neoplasms,1.986207
1971,All Malignant Neoplasms,1.993062
1972,All Malignant Neoplasms,2.003052
1973,All Malignant Neoplasms,2.000051
1974,All Malignant Neoplasms,2.014457
1975,All Malignant Neoplasms,2.001298
1976,All Malignant Neoplasms,2.024936
1977,All Malignant Neoplasms,2.0345020000000003
1978,All Malignant Neoplasms,2.048633
1979,All Malignant Neoplasms,2.039508
1980,All Malignant Neoplasms,2.078602
1981,All Malignant Neoplasms,2.063599
1982,All Malignant Neoplasms,2.083423
1983,All Malignant Neoplasms,2.091159
1984,All Malignant Neoplasms,2.10798
1985,All Malignant Neoplasms,2.112464
1986,All Malignant Neoplasms,2.115286
1987,All Malignant Neoplasms,2.1173580000000003
1988,All Malignant Neoplasms,2.124653
1989,All Malignant Neoplasms,2.141797
1990,All Malignant Neoplasms,2.1601369999999998
1991,All Malignant Neoplasms,2.151869
1992,All Malignant Neoplasms,2.1351009999999997
1993,All Malignant Neoplasms,2.134968
1994,All Malignant Neoplasms,2.117325
1995,All Malignant Neoplasms,2.098452
1996,All Malignant Neoplasms,2.067326
1997,All Malignant Neoplasms,2.034514
