Time_Period,Time_Period_Label,categoryCode,COD_categoryCode_Label,Formatted_FIPS,State,Deaths,Population,Age_Adjusted_Rate
1,1980-1984,8,Cancer,01,AL,36825,19630376,209.571320
1,1980-1984,8,Cancer,02,AK,1671,2280552,213.575140
1,1980-1984,8,Cancer,04,AZ,24086,14484942,189.713340
1,1980-1984,8,Cancer,05,AR,23506,11502991,201.858710
1,1980-1984,8,Cancer,06,CA,211414,124223933,206.399280
1,1980-1984,8,Cancer,08,CO,19253,15258368,175.883220
1,1980-1984,8,Cancer,09,CT,32454,15728160,214.404020
1,1980-1984,8,Cancer,10,DE,6055,3009125,234.266580
1,1980-1984,8,Cancer,11,DC,7820,3185289,269.435250
1,1980-1984,8,Cancer,12,FL,127498,52279426,203.115690
1,1980-1984,8,Cancer,13,GA,44721,28264938,201.816780
1,1980-1984,8,Cancer,15,HI,6263,4987275,175.552250
1,1980-1984,8,Cancer,16,ID,6948,4852674,179.074040
1,1980-1984,8,Cancer,17,IL,110067,57163233,215.156020
1,1980-1984,8,Cancer,18,IN,51211,27349290,212.681890
1,1980-1984,8,Cancer,19,IA,28870,14440377,194.530540
1,1980-1984,8,Cancer,20,KS,22069,12002001,186.340080
1,1980-1984,8,Cancer,21,KY,35528,18404053,217.959330
1,1980-1984,8,Cancer,22,LA,36958,21667783,221.284570
1,1980-1984,8,Cancer,23,ME,12102,5697137,218.971580
1,1980-1984,8,Cancer,24,MD,41234,21465731,235.066550
1,1980-1984,8,Cancer,25,MA,63160,28943710,221.496690
1,1980-1984,8,Cancer,26,MI,82412,45693523,214.237260
1,1980-1984,8,Cancer,27,MN,35908,20632739,189.787810
1,1980-1984,8,Cancer,28,MS,22384,12769708,200.631700
1,1980-1984,8,Cancer,29,MO,51637,24713947,208.751790
1,1980-1984,8,Cancer,30,MT,6811,4023793,195.771580
1,1980-1984,8,Cancer,31,NE,14953,7909314,190.637570
1,1980-1984,8,Cancer,32,NV,7062,4362389,218.586580
1,1980-1984,8,Cancer,33,NH,9033,4743655,215.445980
1,1980-1984,8,Cancer,34,NJ,80709,37209888,227.146180
1,1980-1984,8,Cancer,35,NM,9013,6821677,180.119220
1,1980-1984,8,Cancer,36,NY,186140,88217457,218.185510
1,1980-1984,8,Cancer,37,NC,50799,30110181,197.792850
1,1980-1984,8,Cancer,38,ND,5712,3341641,184.853050
1,1980-1984,8,Cancer,39,OH,107750,53838704,221.628330
1,1980-1984,8,Cancer,40,OK,29341,15923714,198.106250
1,1980-1984,8,Cancer,41,OR,24404,13288835,199.968680
1,1980-1984,8,Cancer,42,PA,133422,59250826,218.644420
1,1980-1984,8,Cancer,44,RI,11065,4775876,223.082470
1,1980-1984,8,Cancer,45,SC,25625,16025171,203.216760
1,1980-1984,8,Cancer,46,SD,6401,3464650,184.758940
1,1980-1984,8,Cancer,47,TN,43088,23214878,205.700660
1,1980-1984,8,Cancer,48,TX,112233,76212672,192.665080
1,1980-1984,8,Cancer,49,UT,7296,7755356,153.393070
1,1980-1984,8,Cancer,50,VT,5002,2598147,217.963000
1,1980-1984,8,Cancer,51,VA,47785,27517002,215.109060
1,1980-1984,8,Cancer,53,WA,36133,21306729,199.262040
1,1980-1984,8,Cancer,54,WV,19318,9719871,205.558800
1,1980-1984,8,Cancer,55,WI,44560,23631603,201.115480
1,1980-1984,8,Cancer,56,WY,2918,2485549,176.049380
1,1980-1984,19,Cancer of lung and bronchus,01,AL,10067,19630376,54.977010
1,1980-1984,19,Cancer of lung and bronchus,02,AK,474,2280552,56.187800
1,1980-1984,19,Cancer of lung and bronchus,04,AZ,6348,14484942,47.741440
1,1980-1984,19,Cancer of lung and bronchus,05,AR,6644,11502991,55.497850
1,1980-1984,19,Cancer of lung and bronchus,06,CA,54343,124223933,51.532060
1,1980-1984,19,Cancer of lung and bronchus,08,CO,4322,15258368,38.498200
1,1980-1984,19,Cancer of lung and bronchus,09,CT,7468,15728160,47.670360
1,1980-1984,19,Cancer of lung and bronchus,10,DE,1648,3009125,61.198840
1,1980-1984,19,Cancer of lung and bronchus,11,DC,1746,3185289,58.543130
1,1980-1984,19,Cancer of lung and bronchus,12,FL,35521,52279426,54.944270
1,1980-1984,19,Cancer of lung and bronchus,13,GA,12514,28264938,54.011590
1,1980-1984,19,Cancer of lung and bronchus,15,HI,1456,4987275,38.916400
1,1980-1984,19,Cancer of lung and bronchus,16,ID,1562,4852674,38.761830
1,1980-1984,19,Cancer of lung and bronchus,17,IL,27553,57163233,52.236860
1,1980-1984,19,Cancer of lung and bronchus,18,IN,13839,27349290,55.518610
1,1980-1984,19,Cancer of lung and bronchus,19,IA,6648,14440377,44.547260
1,1980-1984,19,Cancer of lung and bronchus,20,KS,5456,12002001,45.838850
1,1980-1984,19,Cancer of lung and bronchus,21,KY,10532,18404053,62.417230
1,1980-1984,19,Cancer of lung and bronchus,22,LA,10428,21667783,59.807710
1,1980-1984,19,Cancer of lung and bronchus,23,ME,3115,5697137,55.229150
1,1980-1984,19,Cancer of lung and bronchus,24,MD,10845,21465731,59.102740
1,1980-1984,19,Cancer of lung and bronchus,25,MA,14307,28943710,49.339890
1,1980-1984,19,Cancer of lung and bronchus,26,MI,21170,45693523,53.139430
1,1980-1984,19,Cancer of lung and bronchus,27,MN,7530,20632739,39.566070
1,1980-1984,19,Cancer of lung and bronchus,28,MS,6346,12769708,55.079830
1,1980-1984,19,Cancer of lung and bronchus,29,MO,13750,24713947,54.391270
1,1980-1984,19,Cancer of lung and bronchus,30,MT,1577,4023793,44.007700
1,1980-1984,19,Cancer of lung and bronchus,31,NE,3284,7909314,41.984650
1,1980-1984,19,Cancer of lung and bronchus,32,NV,2156,4362389,61.891500
1,1980-1984,19,Cancer of lung and bronchus,33,NH,2221,4743655,51.650770
1,1980-1984,19,Cancer of lung and bronchus,34,NJ,19848,37209888,53.654640
1,1980-1984,19,Cancer of lung and bronchus,35,NM,1949,6821677,37.282980
1,1980-1984,19,Cancer of lung and bronchus,36,NY,43190,88217457,49.266880
1,1980-1984,19,Cancer of lung and bronchus,37,NC,13348,30110181,49.285650
1,1980-1984,19,Cancer of lung and bronchus,38,ND,1080,3341641,34.401050
1,1980-1984,19,Cancer of lung and bronchus,39,OH,28629,53838704,56.712360
1,1980-1984,19,Cancer of lung and bronchus,40,OK,8550,15923714,56.359740
1,1980-1984,19,Cancer of lung and bronchus,41,OR,6723,13288835,53.598030
1,1980-1984,19,Cancer of lung and bronchus,42,PA,31750,59250826,49.884380
1,1980-1984,19,Cancer of lung and bronchus,44,RI,2625,4775876,51.679530
1,1980-1984,19,Cancer of lung and bronchus,45,SC,6937,16025171,52.280060
1,1980-1984,19,Cancer of lung and bronchus,46,SD,1325,3464650,38.378150
1,1980-1984,19,Cancer of lung and bronchus,47,TN,12232,23214878,56.150160
1,1980-1984,19,Cancer of lung and bronchus,48,TX,30625,76212672,50.794480
1,1980-1984,19,Cancer of lung and bronchus,49,UT,1184,7755356,24.171520
1,1980-1984,19,Cancer of lung and bronchus,50,VT,1173,2598147,49.847540
1,1980-1984,19,Cancer of lung and bronchus,51,VA,13129,27517002,56.681070
1,1980-1984,19,Cancer of lung and bronchus,53,WA,9740,21306729,52.043720
1,1980-1984,19,Cancer of lung and bronchus,54,WV,5594,9719871,56.994850
1,1980-1984,19,Cancer of lung and bronchus,55,WI,9493,23631603,42.024460
1,1980-1984,19,Cancer of lung and bronchus,56,WY,709,2485549,40.786840
1,1980-1984,21,Cancer of breast,01,AL,2841,19630376,16.558460
