,Formatted_FIPS,County,State,Deaths,Population,Age_Adjusted_Rate,Year
0,42001,Adams,PA,45,90363,0.460165,1999
1,42003,Allegheny,PA,1005,1287247,0.596907,1999
2,42005,Armstrong,PA,54,72572,0.548331,1999
3,42007,Beaver,PA,137,182592,0.557595,1999
4,42009,Bedford,PA,26,49853,0.417900,1999
5,42011,Berks,PA,210,370942,0.491007,1999
6,42013,Blair,PA,87,129757,0.523583,1999
7,42015,Bradford,PA,36,62701,0.481443,1999
8,42017,Bucks,PA,340,593947,0.576138,1999
9,42019,Butler,PA,89,172924,0.472519,1999
10,42021,Cambria,PA,111,153911,0.509451,1999
11,42023,Cameron,PA,SUPPRESSED,6026,SUPPRESSED,1999
12,42025,Carbon,PA,41,58845,0.503256,1999
13,42027,Centre,PA,42,135315,0.380266,1999
14,42029,Chester,PA,188,428055,0.460119,1999
15,42031,Clarion,PA,20,41771,0.408420,1999
16,42033,Clearfield,PA,62,83229,0.590834,1999
17,42035,Clinton,PA,25,37888,0.542277,1999
18,42037,Columbia,PA,29,64301,0.364772,1999
19,42039,Crawford,PA,71,90149,0.665033,1999
20,42041,Cumberland,PA,123,213282,0.503317,1999
21,42043,Dauphin,PA,123,251329,0.444042,1999
22,42045,Delaware,PA,368,550820,0.572250,1999
23,42047,Elk,PA,30,35264,0.669272,1999
24,42049,Erie,PA,192,281294,0.632018,1999
25,42051,Fayette,PA,138,148857,0.695146,1999
26,42053,Forest,PA,SUPPRESSED,4942,SUPPRESSED,1999
27,42055,Franklin,PA,83,128875,0.526472,1999
28,42057,Fulton,PA,SUPPRESSED,14317,SUPPRESSED,1999
29,42059,Greene,PA,34,40796,0.732271,1999
30,42061,Huntingdon,PA,24,45567,0.466731,1999
31,42063,Indiana,PA,48,89717,0.466337,1999
32,42065,Jefferson,PA,22,46002,0.364771,1999
33,42067,Juniata,PA,13,22628,0.494564,1999
34,42069,Lackawanna,PA,158,214001,0.511921,1999
35,42071,Lancaster,PA,233,467879,0.460018,1999
36,42073,Lawrence,PA,62,94870,0.457465,1999
37,42075,Lebanon,PA,78,119944,0.523149,1999
38,42077,Lehigh,PA,169,310514,0.463957,1999
39,42079,Luzerne,PA,252,320888,0.558190,1999
40,42081,Lycoming,PA,67,120182,0.468294,1999
41,42083,McKean,PA,40,46287,0.719396,1999
42,42085,Mercer,PA,81,120749,0.513570,1999
43,42087,Mifflin,PA,25,46463,0.437764,1999
44,42089,Monroe,PA,86,134936,0.638310,1999
45,42091,Montgomery,PA,395,744683,0.458759,1999
46,42093,Montour,PA,10,18148,0.444238,1999
47,42095,Northampton,PA,153,265928,0.486018,1999
48,42097,Northumberland,PA,50,94833,0.380776,1999
49,42099,Perry,PA,21,43565,0.493173,1999
50,42101,Philadelphia,PA,1155,1520064,0.723061,1999
51,42103,Pike,PA,28,45063,0.538071,1999
52,42105,Potter,PA,11,17829,0.482045,1999
53,42107,Schuylkill,PA,138,151021,0.647722,1999
54,42109,Snyder,PA,21,37571,0.508467,1999
55,42111,Somerset,PA,49,80127,0.453905,1999
56,42113,Sullivan,PA,SUPPRESSED,6485,SUPPRESSED,1999
57,42115,Susquehanna,PA,24,42165,0.465494,1999
58,42117,Tioga,PA,25,41454,0.498034,1999
59,42119,Union,PA,10,41531,0.243474,1999
60,42121,Venango,PA,45,57851,0.624072,1999
61,42123,Warren,PA,25,44064,0.451336,1999
62,42125,Washington,PA,161,203078,0.583261,1999
63,42127,Wayne,PA,27,47133,0.431509,1999
64,42129,Westmoreland,PA,255,371248,0.499821,1999
65,42131,Wyoming,PA,20,28268,0.661413,1999
66,42133,York,PA,209,378905,0.517484,1999
0,42001,Adams,PA,45,90363,0.460165,2099
1,42003,Allegheny,PA,1005,1287247,0.596907,2099
2,42005,Armstrong,PA,54,72572,0.548331,2099
3,42007,Beaver,PA,137,182592,0.557595,2099
4,42009,Bedford,PA,26,49853,0.417900,2099
5,42011,Berks,PA,210,370942,0.491007,2099
6,42013,Blair,PA,87,129757,0.523583,2099
7,42015,Bradford,PA,36,62701,0.481443,2099
8,42017,Bucks,PA,340,593947,0.576138,2099
9,42019,Butler,PA,89,172924,0.472519,2099
10,42021,Cambria,PA,111,153911,0.509451,2099
11,42023,Cameron,PA,SUPPRESSED,6026,SUPPRESSED,2099
12,42025,Carbon,PA,41,58845,0.503256,2099
13,42027,Centre,PA,42,135315,0.380266,2099
14,42029,Chester,PA,188,428055,0.460119,2099
15,42031,Clarion,PA,20,41771,0.408420,2099
16,42033,Clearfield,PA,62,83229,0.590834,2099
17,42035,Clinton,PA,25,37888,0.542277,2099
18,42037,Columbia,PA,29,64301,0.364772,2099
19,42039,Crawford,PA,71,90149,0.665033,2099
20,42041,Cumberland,PA,123,213282,0.503317,2099
21,42043,Dauphin,PA,123,251329,0.444042,2099
22,42045,Delaware,PA,368,550820,0.572250,2099
23,42047,Elk,PA,30,35264,0.669272,2099
24,42049,Erie,PA,192,281294,0.632018,2099
25,42051,Fayette,PA,138,148857,0.695146,2099
26,42053,Forest,PA,SUPPRESSED,4942,SUPPRESSED,2099
27,42055,Franklin,PA,83,128875,0.526472,2099
28,42057,Fulton,PA,SUPPRESSED,14317,SUPPRESSED,2099
